Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,ssd Name,Price
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,115,186.0,8641,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40,Intel 750 Series NVMe PCIe 400GB,199.00
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,115,186.0,8641,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40,Intel 750 Series NVMe PCIe 400GB,34.99
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,116,185.0,5772,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000,Samsung SM951 AHCI PCIe M.2 512GB,88.99
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,117,184.0,250,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE,Zotac Sonix NVMe PCIe 480GB,90.19
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,118,184.0,133,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB,HP EX900 NVMe PCIe M.2 1TB,25.99
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,119,183.0,9202,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256,Samsung SM951 NVMe PCIe M.2 256GB,33.99
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,120,183.0,10318,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB,HP EX900 NVMe PCIe M.2 500GB,116.99
SSD,,Intel,Optane+ NVMe PCIe 500GB,121,181.0,1939,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD,Intel Optane+ NVMe PCIe 500GB,109.00
SSD,,Intel,Optane+ NVMe PCIe 128GB,122,181.0,229,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD,Intel Optane+ NVMe PCIe 128GB,109.00
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,123,180.0,2806,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG,Plextor M8Pe NVMe PCIe M.2 256GB,25.99
