Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,cpu Name,Price
CPU,BX8070110400,Intel,Core i5-10400,193,84.5,71804,https://cpu.userbenchmark.com/Intel-Core-i5-10400/Rating/4073,Intel Core i5-10400,199
CPU,,Intel,Core i9-10980HK,194,84.4,7777,https://cpu.userbenchmark.com/SpeedTest/1065893/IntelR-CoreTM-i9-10980HK-CPU---240GHz,Intel Core i9-10980HK,579
CPU,BX80677I77700K,Intel,Core i7-7700K,195,84.2,712312,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647,Intel Core i7-7700K,381
CPU,BX8070110500,Intel,Core i5-10500,196,84.2,10180,https://cpu.userbenchmark.com/Intel-Core-i5-10500/Rating/4078,Intel Core i5-10500,140
CPU,BX8069510980XE,Intel,Core i9-10980XE,197,84.2,4959,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz,Intel Core i9-10980XE,579
CPU,BX80677I57640X,Intel,Core i5-7640X,198,84.1,2123,https://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz,Intel Core i5-7640X,199
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,199,84.1,294959,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041,AMD Ryzen 5 3600X,141
CPU,,AMD,Ryzen 7 7840HS,200,83.9,1015,https://cpu.userbenchmark.com/SpeedTest/2112343/AMD-Ryzen-7-7840HS-w-Radeon-780M-Graphics,AMD Ryzen 7 7840HS,599
CPU,BX80673I99900X,Intel,Core i9-9900X,201,83.7,3521,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz,Intel Core i9-9900X,579
CPU,BX80671I76850K,Intel,Core i7-6850K,202,83.6,29279,https://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606,Intel Core i7-6850K,103
CPU,,AMD,Ryzen 9 7940HS,203,83.6,1649,https://cpu.userbenchmark.com/SpeedTest/2069169/AMD-Ryzen-9-7940HS-w-Radeon-780M-Graphics,AMD Ryzen 9 7940HS,539
CPU,,AMD,Ryzen 7 7745HX,204,83.4,46,https://cpu.userbenchmark.com/SpeedTest/2100010/AMD-Ryzen-7-7745HX-with-Radeon-Graphics,AMD Ryzen 7 7745HX,"1,899"
CPU,BX80673I97940X,Intel,Core i9-7940X,205,83.3,4560,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz,Intel Core i9-7940X,579
CPU,,Intel,Core i5-1240P,206,83.2,2059,https://cpu.userbenchmark.com/SpeedTest/1811937/12th-Gen-IntelR-CoreTM-i5-1240P,Intel Core i5-1240P,293
CPU,BX80673I97960X,Intel,Core i9-7960X,207,83.2,2322,https://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz,Intel Core i9-7960X,548
CPU,100-100000031BOX,AMD,Ryzen 5 3600,208,83.1,1072639,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040,AMD Ryzen 5 3600,77
CPU,BX80673I99980X,Intel,Core i9-9980XE,209,83.0,2201,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz,Intel Core i9-9980XE,"1,097"
CPU,,AMD,Ryzen 7 PRO 4750G,210,83.0,1521,https://cpu.userbenchmark.com/SpeedTest/1232646/AMD-Ryzen-7-PRO-4750G-with-Radeon-Graphics,AMD Ryzen 7 PRO 4750G,164
CPU,BX80673I79800X,Intel,Core i7-9800X,211,82.9,4003,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz,Intel Core i7-9800X,381
CPU,CM8068403358708,Intel,Core i5-8600T,212,82.2,375,https://cpu.userbenchmark.com/SpeedTest/506080/IntelR-CoreTM-i5-8600T-CPU---230GHz,Intel Core i5-8600T,199
CPU,BX8070110105F,Intel,Core i3-10105F,213,82.2,14843,https://cpu.userbenchmark.com/SpeedTest/1482345/IntelR-CoreTM-i3-10105F-CPU---370GHz,Intel Core i3-10105F,111
CPU,BX80684I58500,Intel,Core i5-8500,214,82.1,43089,https://cpu.userbenchmark.com/SpeedTest/447884/IntelR-CoreTM-i5-8500-CPU---300GHz,Intel Core i5-8500,167
CPU,,Intel,Xeon E3-1270 v6,215,81.9,593,https://cpu.userbenchmark.com/SpeedTest/278175/IntelR-XeonR-CPU-E3-1270-v6---380GHz,Intel Xeon E3-1270 v6,719
CPU,BX80673I97900X,Intel,Core i9-7900X,216,81.9,19432,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936,Intel Core i9-7900X,392
CPU,BX80673I99820X,Intel,Core i9-9820X,217,81.9,2515,https://cpu.userbenchmark.com/SpeedTest/651318/IntelR-CoreTM-i9-9820X-CPU---330GHz,Intel Core i9-9820X,579
CPU,,Intel,Core i9-9980HK,218,81.8,8965,https://cpu.userbenchmark.com/SpeedTest/797907/IntelR-CoreTM-i9-9980HK-CPU---240GHz,Intel Core i9-9980HK,579
CPU,BX80684I58400,Intel,Core i5-8400,219,81.8,312220,https://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939,Intel Core i5-8400,199
CPU,100-1000000158,AMD,Ryzen 5 3500X,220,81.7,33544,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500X/Rating/4052,AMD Ryzen 5 3500X,77
CPU,BX80684I38350K,Intel,Core i3-8350K,221,81.7,23493,https://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935,Intel Core i3-8350K,111
CPU,,Intel,Xeon E3-1245 v6,222,81.6,562,https://cpu.userbenchmark.com/SpeedTest/299743/IntelR-XeonR-CPU-E3-1245-v6---370GHz,Intel Xeon E3-1245 v6,719
CPU,BX80673I97920X,Intel,Core i9-7920X,223,81.6,5430,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz,Intel Core i9-7920X,579
CPU,BX80658i55675C,Intel,Core i5-5675C,224,81.5,945,https://cpu.userbenchmark.com/SpeedTest/31828/IntelR-CoreTM-i5-5675C-CPU---310GHz,Intel Core i5-5675C,239
CPU,,AMD,Ryzen 7 4700G,225,81.3,607,https://cpu.userbenchmark.com/SpeedTest/1135003/AMD-Ryzen-7-4700G-8-Core-Processor,AMD Ryzen 7 4700G,164
CPU,,Intel,Core i9-10885H,226,81.2,6135,https://cpu.userbenchmark.com/SpeedTest/1174414/IntelR-CoreTM-i9-10885H-CPU---240GHz,Intel Core i9-10885H,579
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,227,81.1,10169,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor,AMD Ryzen TR 2950X,191
CPU,BX80671I76800K,Intel,Core i7-6800K,228,80.9,50196,https://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607,Intel Core i7-6800K,291
CPU,100-1000000050,AMD,Ryzen 5 3500,229,80.9,16466,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053,AMD Ryzen 5 3500,77
CPU,,Intel,Core i7-1365U,230,80.9,156,https://cpu.userbenchmark.com/SpeedTest/2082316/13th-Gen-IntelR-CoreTM-i7-1365U,Intel Core i7-1365U,381
CPU,BX80662I76700K,Intel,Core i7-6700K,231,80.8,588978,https://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502,Intel Core i7-6700K,381
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,232,80.7,3902,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor,AMD Ryzen TR 2920X,277
CPU,,Intel,Core i7-5775R,233,80.5,158,https://cpu.userbenchmark.com/SpeedTest/39919/IntelR-CoreTM-i7-5775R-CPU---330GHz,Intel Core i7-5775R,366
CPU,,Intel,Core i7-8809G,234,80.5,3729,https://cpu.userbenchmark.com/SpeedTest/422264/IntelR-CoreTM-i7-8809G-CPU---310GHz,Intel Core i7-8809G,195
CPU,BX80648I75960X,Intel,Core i7-5960X,235,80.5,15468,https://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580,Intel Core i7-5960X,120
CPU,,AMD,Ryzen 9 5980HX,236,80.4,673,https://cpu.userbenchmark.com/SpeedTest/1628488/AMD-Ryzen-9-5980HX-with-Radeon-Graphics,AMD Ryzen 9 5980HX,277
CPU,,Intel,Core i7-5950HQ,237,80.4,172,https://cpu.userbenchmark.com/SpeedTest/29765/IntelR-CoreTM-i7-5950HQ-CPU---290GHz,Intel Core i7-5950HQ,366
CPU,BX8070110100F,Intel,Core i3-10100F,238,80.4,39812,https://cpu.userbenchmark.com/Intel-Core-i3-10100F/Rating/4082,Intel Core i3-10100F,71
CPU,,Intel,Core i5-10500H,239,80.3,12921,https://cpu.userbenchmark.com/SpeedTest/1449890/IntelR-CoreTM-i5-10500H-CPU---250GHz,Intel Core i5-10500H,199
CPU,,AMD,Ryzen 5 PRO 4650G,240,80.2,6798,https://cpu.userbenchmark.com/SpeedTest/1232634/AMD-Ryzen-5-PRO-4650G-with-Radeon-Graphics,AMD Ryzen 5 PRO 4650G,179
CPU,BX80673I77820X,Intel,Core i7-7820X,241,80.1,28524,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928,Intel Core i7-7820X,329
CPU,BX80673I97980X,Intel,Core i9-7980XE,242,80.1,4653,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz,Intel Core i9-7980XE,548
CPU,,Intel,Core i5-11400H,243,80.1,35470,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,Intel Core i5-11400H,199
CPU,BX80684I39100F,Intel,Core i3-9100F,244,80.1,34310,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054,Intel Core i3-9100F,111
CPU,,AMD,Ryzen 7 4800U,245,80.1,2275,https://cpu.userbenchmark.com/SpeedTest/1005639/AMD-Ryzen-7-4800U-with-Radeon-Graphics,AMD Ryzen 7 4800U,419
CPU,BX80684I38300,Intel,Core i3-8300,246,79.9,2273,https://cpu.userbenchmark.com/SpeedTest/484077/IntelR-CoreTM-i3-8300-CPU---370GHz,Intel Core i3-8300,111
CPU,,AMD,Ryzen 9 6900HX,247,79.9,2058,https://cpu.userbenchmark.com/SpeedTest/1792755/AMD-Ryzen-9-6900HX-with-Radeon-Graphics,AMD Ryzen 9 6900HX,619
CPU,BX8070110100,Intel,Core i3-10100,248,79.9,24563,https://cpu.userbenchmark.com/Intel-Core-i3-10100/Rating/4075,Intel Core i3-10100,111
CPU,BX80648I75930K,Intel,Core i7-5930K,249,79.8,34039,https://cpu.userbenchmark.com/Intel-Core-i7-5930K/Rating/2578,Intel Core i7-5930K,125
CPU,100-100000159BOX,AMD,Ryzen 3 3300X,250,79.7,15293,https://cpu.userbenchmark.com/AMD-Ryzen-3-3300X/Rating/4076,AMD Ryzen 3 3300X,150
CPU,BX80684I39100,Intel,Core i3-9100,251,79.7,7621,https://cpu.userbenchmark.com/SpeedTest/806339/IntelR-CoreTM-i3-9100-CPU---360GHz,Intel Core i3-9100,111
CPU,,Intel,Core i7-10850H,252,79.5,6246,https://cpu.userbenchmark.com/SpeedTest/1160496/IntelR-CoreTM-i7-10850H-CPU---270GHz,Intel Core i7-10850H,"1,178"
CPU,,Intel,Xeon E3-1230 v6,253,79.4,474,https://cpu.userbenchmark.com/SpeedTest/268848/IntelR-XeonR-CPU-E3-1230-v6---350GHz,Intel Xeon E3-1230 v6,989
CPU,CM8068403358413,Intel,Core i7-8700T,254,79.4,5592,https://cpu.userbenchmark.com/SpeedTest/480804/IntelR-CoreTM-i7-8700T-CPU---240GHz,Intel Core i7-8700T,381
CPU,,Intel,Core i5-10400H,255,79.2,625,https://cpu.userbenchmark.com/SpeedTest/1084904/IntelR-CoreTM-i5-10400H-CPU---260GHz,Intel Core i5-10400H,199
CPU,,Intel,Core i7-10870H,256,79.1,23498,https://cpu.userbenchmark.com/SpeedTest/1322918/IntelR-CoreTM-i7-10870H-CPU---220GHz,Intel Core i7-10870H,381
CPU,YD297XAZAFWOF,AMD,Ryzen TR 2970WX,257,79.0,1966,https://cpu.userbenchmark.com/SpeedTest/626249/AMD-Ryzen-Threadripper-2970WX-24-Core-Processor,AMD Ryzen TR 2970WX,277
CPU,,AMD,Ryzen 7 7735HS,258,79.0,3338,https://cpu.userbenchmark.com/SpeedTest/2011483/AMD-Ryzen-7-7735HS-with-Radeon-Graphics,AMD Ryzen 7 7735HS,499
CPU,BX80646I74790K,Intel,Core i7-4790K,259,78.9,455746,https://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384,Intel Core i7-4790K,291
CPU,CL8068404069006,Intel,Core i9-9880H,260,78.9,11095,https://cpu.userbenchmark.com/SpeedTest/750169/IntelR-CoreTM-i9-9880H-CPU---230GHz,Intel Core i9-9880H,579
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,261,78.9,3658,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor,AMD Ryzen TR 2990WX,277
CPU,,Intel,Core i5-9400H,262,78.9,773,https://cpu.userbenchmark.com/SpeedTest/843530/IntelR-CoreTM-i5-9400H-CPU---250GHz,Intel Core i5-9400H,199
CPU,,Intel,Core i7-10875H,263,78.8,35361,https://cpu.userbenchmark.com/SpeedTest/1111393/IntelR-CoreTM-i7-10875H-CPU---230GHz,Intel Core i7-10875H,"1,199"
CPU,,Intel,Core i3-10300T,264,78.6,25,https://cpu.userbenchmark.com/SpeedTest/1290166/IntelR-CoreTM-i3-10300T-CPU---300GHz,Intel Core i3-10300T,111
